,Unnamed: 0.1,GF,GA,xG,xGA,Poss,Attendance,Sh,SoT,Dist,FK,PK,PKatt,Season,Venue_code,opp_code,team_code,formation,hour,day_code,target
0,0,0,2,1.3,1.2,64.0,16479.0,22.0,4.0,19.0,1.0,0.0,0.0,2021,0,2,0,8,20,4,0
1,1,0,2,0.3,3.1,35.0,58729.0,6.0,3.0,18.7,0.0,0.0,0.0,2021,1,5,0,8,16,6,0
2,2,0,5,0.2,4.4,20.0,52276.0,1.0,0.0,6.8,0.0,0.0,0.0,2021,0,11,0,16,12,5,0
3,3,1,0,2.7,0.7,51.0,58000.0,30.0,6.0,16.9,1.0,0.0,0.0,2021,1,14,0,8,15,5,1
4,4,1,0,1.1,1.0,54.0,20000.0,13.0,3.0,20.7,1.0,0.0,0.0,2021,0,4,0,6,15,5,1
5,5,3,1,1.1,1.0,46.0,59919.0,12.0,7.0,17.7,0.0,0.0,0.0,2021,1,16,0,8,16,6,1
6,6,0,0,0.4,1.1,42.0,31266.0,8.0,2.0,21.1,1.0,0.0,0.0,2021,0,3,0,8,17,5,0
7,7,2,2,1.7,0.7,54.0,59475.0,17.0,6.0,17.6,1.0,0.0,0.0,2021,1,6,0,6,20,0,0
8,8,3,1,2.7,1.4,53.0,59496.0,21.0,8.0,17.3,1.0,0.0,1.0,2021,1,1,0,8,20,4,1
9,9,2,0,0.7,1.3,36.0,32209.0,9.0,5.0,16.7,0.0,0.0,0.0,2021,0,9,0,12,12,5,1
10,10,1,0,1.6,0.5,60.0,59833.0,13.0,5.0,21.1,1.0,0.0,1.0,2021,1,17,0,12,14,6,1
11,11,0,4,0.4,4.3,38.0,53092.0,5.0,3.0,19.9,0.0,0.0,0.0,2021,0,10,0,12,17,5,0
12,12,2,0,2.5,0.3,66.0,59886.0,24.0,6.0,17.8,1.0,0.0,0.0,2021,1,13,0,12,12,5,1
13,13,2,3,1.4,1.9,56.0,73123.0,17.0,7.0,16.5,1.0,0.0,0.0,2021,0,12,0,12,20,3,0
14,14,1,2,1.0,0.9,63.0,38906.0,10.0,3.0,16.1,0.0,0.0,0.0,2021,0,7,0,8,20,0,0
15,15,3,0,1.8,0.6,61.0,59653.0,15.0,5.0,15.7,0.0,0.0,0.0,2021,1,15,0,12,15,5,1
16,16,2,0,2.8,0.4,55.0,59777.0,20.0,7.0,19.6,2.0,0.0,1.0,2021,1,18,0,12,20,2,1
17,17,4,1,3.5,1.6,49.0,36166.0,21.0,12.0,16.7,0.0,0.0,0.0,2021,0,8,0,8,17,5,1
18,18,5,0,2.5,0.1,64.0,26940.0,15.0,5.0,17.7,1.0,1.0,1.0,2021,0,14,0,8,15,6,1
19,19,1,2,0.8,2.0,29.0,59757.0,7.0,2.0,15.6,0.0,0.0,0.0,2021,1,11,0,8,12,5,0
20,20,0,0,1.2,0.4,75.0,59255.0,20.0,5.0,18.8,2.0,0.0,0.0,2021,1,4,0,6,14,6,0
21,21,1,0,1.8,0.8,42.0,31523.0,12.0,2.0,17.2,0.0,0.0,0.0,2021,0,19,0,8,19,3,1
22,22,2,1,1.7,0.6,66.0,59249.0,24.0,7.0,16.0,0.0,0.0,0.0,2021,1,2,0,8,15,5,1
23,23,2,1,3.1,1.0,56.0,59888.0,26.0,5.0,15.6,1.0,0.0,0.0,2021,1,19,0,8,19,3,1
24,24,3,2,1.0,1.0,56.0,21142.0,16.0,4.0,17.3,0.0,0.0,0.0,2021,0,17,0,8,14,6,1
